Jour et mois ;Annee;Achery;Rennes;LA ROCHE SUR YON;DAX;PEYREHORADE;SAINT-MARTIN-DE-HINX;ANCENIS;NANTES-BOUGUEIS;MONTOIR/ST ZAIRE;NORT SUR ERDRE;DERVAL;LA CHAPELLE-SAINT-SAUVEUR;ANGERS;SAUMUR;CONDE SUR VIRE;SAINT-HILAIRE DU HARCOUET;MAYENNE;ARGENTRE;ETRONNIER AERODROME DE LAVAL;CHATEAU-GONTIER;LORIENT -QUEVEN
2204;2000;34.5121;34.0126;35.8441;42.6651;41.8284;41.8738;36.4818;32.891;29.8279;33.556;34.0126;34.738;35.1932;37.0179;34.8264;34.648;33.805;34.1649;36.4818;34.9651;33.8736
2304;2000;35.3678;34.8898;36.7228;43.6298;42.7842;42.8184;37.3954;33.82;30.7542;34.445;34.8898;35.629;36.1136;37.9622;35.6312;35.491;34.648;35.0352;37.3954;35.8438;34.7978
2404;2000;37.0792;36.6442;38.4802;45.5592;44.6958;44.7076;39.2226;35.678;32.6068;36.223;36.6442;37.411;37.9544;39.8508;37.2408;37.177;36.334;36.7758;39.2226;37.6012;36.6462
2504;2000;37.9349;37.5214;39.3589;46.5239;45.6516;45.6522;40.1362;36.607;33.5331;37.112;37.5214;38.302;38.8748;40.7951;38.0456;38.02;37.177;37.6461;40.1362;38.4799;37.5704
2604;2000;38.7906;38.3986;40.2376;47.4886;46.6074;46.5968;41.0498;37.536;34.4594;38.001;38.3986;39.193;39.7952;41.7394;38.8504;38.863;38.02;38.5164;41.0498;39.3586;38.4946
2704;2000;39.6463;39.2758;41.1163;48.4533;47.5632;47.5414;41.9634;38.465;35.3857;38.89;39.2758;40.084;40.7156;42.6837;39.6552;39.706;38.863;39.3867;41.9634;40.2373;39.4188
2804;2000;40.502;40.153;41.995;49.418;48.519;48.486;42.877;39.394;36.312;39.779;40.153;40.975;41.636;43.628;40.46;40.549;39.706;40.257;42.877;41.116;40.343
2904;2000;41.3577;41.0302;42.8737;50.3827;49.4748;49.4306;43.7906;40.323;37.2383;40.668;41.0302;41.866;42.5564;44.5723;41.2648;41.392;40.549;41.1273;43.7906;41.9947;41.2672
3004;2000;42.2134;41.9074;43.7524;51.3474;50.4306;50.3752;44.7042;41.252;38.1646;41.557;41.9074;42.757;43.4768;45.5166;42.0696;42.235;41.392;41.9976;44.7042;42.8734;42.1914
105;2000;43.0691;42.7846;44.6311;52.3121;51.3864;51.3198;45.6178;42.181;39.0909;42.446;42.7846;43.648;44.3972;46.4609;42.8744;43.078;42.235;42.8679;45.6178;43.7521;43.1156
205;2000;43.9248;43.6618;45.5098;53.2768;52.3422;52.2644;46.5314;43.11;40.0172;43.335;43.6618;44.539;45.3176;47.4052;43.6792;43.921;43.078;43.7382;46.5314;44.6308;44.0398
305;2000;44.7805;44.539;46.3885;54.2415;53.298;53.209;47.445;44.039;40.9435;44.224;44.539;45.43;46.238;48.3495;44.484;44.764;43.921;44.6085;47.445;45.5095;44.964
405;2000;45.6362;45.4162;47.2672;55.2062;54.2538;54.1536;48.3586;44.968;41.8698;45.113;45.4162;46.321;47.1584;49.2938;45.2888;45.607;44.764;45.4788;48.3586;46.3882;45.8882
505;2000;46.4919;46.2934;48.1459;56.1709;55.2096;55.0982;49.2722;45.897;42.7961;46.002;46.2934;47.212;48.0788;50.2381;46.0936;46.45;45.607;46.3491;49.2722;47.2669;46.8124
605;2000;47.3476;47.1706;49.0246;57.1356;56.1654;56.0428;50.1858;46.826;43.7224;46.891;47.1706;48.103;48.9992;51.1824;46.8984;47.293;46.45;47.2194;50.1858;48.1456;47.7366
705;2000;48.2033;48.0478;49.9033;58.1003;57.1212;56.9874;51.0994;47.755;44.6487;47.78;48.0478;48.994;49.9196;52.1267;47.7032;48.136;47.293;48.0897;51.0994;49.0243;48.6608
805;2000;49.059;48.925;50.782;59.065;58.077;57.932;52.013;48.684;45.575;48.669;48.925;49.885;50.84;53.071;48.508;48.979;48.136;48.96;52.013;49.903;49.585
905;2000;49.9147;49.8022;51.6607;60.0297;59.0328;58.8766;52.9266;49.613;46.5013;49.558;49.8022;50.776;51.7604;54.0153;49.3128;49.822;48.979;49.8303;52.9266;50.7817;50.5092
1005;2000;50.7704;50.6794;52.5394;60.9944;59.9886;59.8212;53.8402;50.542;47.4276;50.447;50.6794;51.667;52.6808;54.9596;50.1176;50.665;49.822;50.7006;53.8402;51.6604;51.4334
1105;2000;51.6261;51.5566;53.4181;61.9591;60.9444;60.7658;54.7538;51.471;48.3539;51.336;51.5566;52.558;53.6012;55.9039;50.9224;51.508;50.665;51.5709;54.7538;52.5391;52.3576
1205;2000;52.4818;52.4338;54.2968;62.9238;61.9002;61.7104;55.6674;52.4;49.2802;52.225;52.4338;53.449;54.5216;56.8482;51.7272;52.351;51.508;52.4412;55.6674;53.4178;53.2818
1305;2000;53.3375;53.311;55.1755;63.8885;62.856;62.655;56.581;53.329;50.2065;53.114;53.311;54.34;55.442;57.7925;52.532;53.194;52.351;53.3115;56.581;54.2965;54.206
1405;2000;54.1932;54.1882;56.0542;64.8532;63.8118;63.5996;57.4946;54.258;51.1328;54.003;54.1882;55.231;56.3624;58.7368;53.3368;54.037;53.194;54.1818;57.4946;55.1752;55.1302
1505;2000;55.0489;55.0654;56.9329;65.8179;64.7676;64.5442;58.4082;55.187;52.0591;54.892;55.0654;56.122;57.2828;59.6811;54.1416;54.88;54.037;55.0521;58.4082;56.0539;56.0544
1605;2000;55.9046;55.9426;57.8116;66.7826;65.7234;65.4888;59.3218;56.116;52.9854;55.781;55.9426;57.013;58.2032;60.6254;54.9464;55.723;54.88;55.9224;59.3218;56.9326;56.9786
1705;2000;56.7603;56.8198;58.6903;67.7473;66.6792;66.4334;60.2354;57.045;53.9117;56.67;56.8198;57.904;59.1236;61.5697;55.7512;56.566;55.723;56.7927;60.2354;57.8113;57.9028
1805;2000;57.616;57.697;59.569;68.712;67.635;67.378;61.149;57.974;54.838;57.559;57.697;58.795;60.044;62.514;56.556;57.409;56.566;57.663;61.149;58.69;58.827
1905;2000;58.4717;58.5742;60.4477;69.6767;68.5908;68.3226;62.0626;58.903;55.7643;58.448;58.5742;59.686;60.9644;63.4583;57.3608;58.252;57.409;58.5333;62.0626;59.5687;59.7512
2005;2000;59.3274;59.4514;61.3264;70.6414;69.5466;69.2672;62.9762;59.832;56.6906;59.337;59.4514;60.577;61.8848;64.4026;58.1656;59.095;58.252;59.4036;62.9762;60.4474;60.6754
2105;2000;60.1831;60.3286;62.2051;71.6061;70.5024;70.2118;63.8898;60.761;57.6169;60.226;60.3286;61.468;62.8052;65.3469;58.9704;59.938;59.095;60.2739;63.8898;61.3261;61.5996
2205;2000;61.0388;61.2058;63.0838;72.5708;71.4582;71.1564;64.8034;61.69;58.5432;61.115;61.2058;62.359;63.7256;66.2912;59.7752;60.781;59.938;61.1442;64.8034;62.2048;62.5238
2305;2000;61.8945;62.083;63.9625;73.5355;72.414;72.101;65.717;62.619;59.4695;62.004;62.083;63.25;64.646;67.2355;60.58;61.624;60.781;62.0145;65.717;63.0835;63.448
2405;2000;62.7502;62.9602;64.8412;74.5002;73.3698;73.0456;66.6306;63.548;60.3958;62.893;62.9602;64.141;65.5664;68.1798;61.3848;62.467;61.624;62.8848;66.6306;63.9622;64.3722
2505;2000;63.6059;63.8374;65.7199;75.4649;74.3256;73.9902;67.5442;64.477;61.3221;63.782;63.8374;65.032;66.4868;69.1241;62.1896;63.31;62.467;63.7551;67.5442;64.8409;65.2964
2605;2000;64.4616;64.7146;66.5986;76.4296;75.2814;74.9348;68.4578;65.406;62.2484;64.671;64.7146;65.923;67.4072;70.0684;62.9944;64.153;63.31;64.6254;68.4578;65.7196;66.2206
2705;2000;65.3173;65.5918;67.4773;77.3943;76.2372;75.8794;69.3714;66.335;63.1747;65.56;65.5918;66.814;68.3276;71.0127;63.7992;64.996;64.153;65.4957;69.3714;66.5983;67.1448
2805;2000;66.173;66.469;68.356;78.359;77.193;76.824;70.285;67.264;64.101;66.449;66.469;67.705;69.248;71.957;64.604;65.839;64.996;66.366;70.285;67.477;68.069
2905;2000;67.0287;67.3462;69.2347;79.3237;78.1488;77.7686;71.1986;68.193;65.0273;67.338;67.3462;68.596;70.1684;72.9013;65.4088;66.682;65.839;67.2363;71.1986;68.3557;68.9932
3005;2000;67.8844;68.2234;70.1134;80.2884;79.1046;78.7132;72.1122;69.122;65.9536;68.227;68.2234;69.487;71.0888;73.8456;66.2136;67.525;66.682;68.1066;72.1122;69.2344;69.9174
3105;2000;68.7401;69.1006;70.9921;81.2531;80.0604;79.6578;73.0258;70.051;66.8799;69.116;69.1006;70.378;72.0092;74.7899;67.0184;68.368;67.525;68.9769;73.0258;70.1131;70.8416
106;2000;69.5958;69.9778;71.8708;82.2178;81.0162;80.6024;73.9394;70.98;67.8062;70.005;69.9778;71.269;72.9296;75.7342;67.8232;69.211;68.368;69.8472;73.9394;70.9918;71.7658
206;2000;70.4515;70.855;72.7495;83.1825;81.972;81.547;74.853;71.909;68.7325;70.894;70.855;72.16;73.85;76.6785;68.628;70.054;69.211;70.7175;74.853;71.8705;72.69
306;2000;71.3072;71.7322;73.6282;84.1472;82.9278;82.4916;75.7666;72.838;69.6588;71.783;71.7322;73.051;74.7704;77.6228;69.4328;70.897;70.054;71.5878;75.7666;72.7492;73.6142
406;2000;72.1629;72.6094;74.5069;85.1119;83.8836;83.4362;76.6802;73.767;70.5851;72.672;72.6094;73.942;75.6908;78.5671;70.2376;71.74;70.897;72.4581;76.6802;73.6279;74.5384
506;2000;73.0186;73.4866;75.3856;86.0766;84.8394;84.3808;77.5938;74.696;71.5114;73.561;73.4866;74.833;76.6112;79.5114;71.0424;72.583;71.74;73.3284;77.5938;74.5066;75.4626
606;2000;73.8743;74.3638;76.2643;87.0413;85.7952;85.3254;78.5074;75.625;72.4377;74.45;74.3638;75.724;77.5316;80.4557;71.8472;73.426;72.583;74.1987;78.5074;75.3853;76.3868
706;2000;74.73;75.241;77.143;88.006;86.751;86.27;79.421;76.554;73.364;75.339;75.241;76.615;78.452;81.4;72.652;74.269;73.426;75.069;79.421;76.264;77.311
806;2000;75.5857;76.1182;78.0217;88.9707;87.7068;87.2146;80.3346;77.483;74.2903;76.228;76.1182;77.506;79.3724;82.3443;73.4568;75.112;74.269;75.9393;80.3346;77.1427;78.2352
906;2000;76.4414;76.9954;78.9004;89.9354;88.6626;88.1592;81.2482;78.412;75.2166;77.117;76.9954;78.397;80.2928;83.2886;74.2616;75.955;75.112;76.8096;81.2482;78.0214;79.1594
1006;2000;77.2971;77.8726;79.7791;90.9001;89.6184;89.1038;82.1618;79.341;76.1429;78.006;77.8726;79.288;81.2132;84.2329;75.0664;76.798;75.955;77.6799;82.1618;78.9001;80.0836
1106;2000;78.1528;78.7498;80.6578;91.8648;90.5742;90.0484;83.0754;80.27;77.0692;78.895;78.7498;80.179;82.1336;85.1772;75.8712;77.641;76.798;78.5502;83.0754;79.7788;81.0078
1206;2000;79.0085;79.627;81.5365;92.8295;91.53;90.993;83.989;81.199;77.9955;79.784;79.627;81.07;83.054;86.1215;76.676;78.484;77.641;79.4205;83.989;80.6575;81.932
1306;2000;79.8642;80.5042;82.4152;93.7942;92.4858;91.9376;84.9026;82.128;78.9218;80.673;80.5042;81.961;83.9744;87.0658;77.4808;79.327;78.484;80.2908;84.9026;81.5362;82.8562
1406;2000;80.7199;81.3814;83.2939;94.7589;93.4416;92.8822;85.8162;83.057;79.8481;81.562;81.3814;82.852;84.8948;88.0101;78.2856;80.17;79.327;81.1611;85.8162;82.4149;83.7804
1506;2000;81.5756;82.2586;84.1726;95.7236;94.3974;93.8268;86.7298;83.986;80.7744;82.451;82.2586;83.743;85.8152;88.9544;79.0904;81.013;80.17;82.0314;86.7298;83.2936;84.7046
1606;2000;82.4313;83.1358;85.0513;96.6883;95.3532;94.7714;87.6434;84.915;81.7007;83.34;83.1358;84.634;86.7356;89.8987;79.8952;81.856;81.013;82.9017;87.6434;84.1723;85.6288
1706;2000;83.287;84.013;85.93;97.653;96.309;95.716;88.557;85.844;82.627;84.229;84.013;85.525;87.656;90.843;80.7;82.699;81.856;83.772;88.557;85.051;86.553
1806;2000;84.1427;84.8902;86.8087;98.6177;97.2648;96.6606;89.4706;86.773;83.5533;85.118;84.8902;86.416;88.5764;91.7873;81.5048;83.542;82.699;84.6423;89.4706;85.9297;87.4772
1906;2000;84.9984;85.7674;87.6874;99.5824;98.2206;97.6052;90.3842;87.702;84.4796;86.007;85.7674;87.307;89.4968;92.7316;82.3096;84.385;83.542;85.5126;90.3842;86.8084;88.4014
2006;2000;85.8541;86.6446;88.5661;100.5471;99.1764;98.5498;91.2978;88.631;85.4059;86.896;86.6446;88.198;90.4172;93.6759;83.1144;85.228;84.385;86.3829;91.2978;87.6871;89.3256
2106;2000;86.7098;87.5218;89.4448;101.5118;100.1322;99.4944;92.2114;89.56;86.3322;87.785;87.5218;89.089;91.3376;94.6202;83.9192;86.071;85.228;87.2532;92.2114;88.5658;90.2498
2206;2000;87.5655;88.399;90.3235;102.4765;101.088;100.439;93.125;90.489;87.2585;88.674;88.399;89.98;92.258;95.5645;84.724;86.914;86.071;88.1235;93.125;89.4445;91.174
2306;2000;88.4212;89.2762;91.2022;103.4412;102.0438;101.3836;94.0386;91.418;88.1848;89.563;89.2762;90.871;93.1784;96.5088;85.5288;87.757;86.914;88.9938;94.0386;90.3232;92.0982
2406;2000;89.2769;90.1534;92.0809;104.4059;102.9996;102.3282;94.9522;92.347;89.1111;90.452;90.1534;91.762;94.0988;97.4531;86.3336;88.6;87.757;89.8641;94.9522;91.2019;93.0224
2506;2000;90.1326;91.0306;92.9596;105.3706;103.9554;103.2728;95.8658;93.276;90.0374;91.341;91.0306;92.653;95.0192;98.3974;87.1384;89.443;88.6;90.7344;95.8658;92.0806;93.9466
2606;2000;90.9883;91.9078;93.8383;106.3353;104.9112;104.2174;96.7794;94.205;90.9637;92.23;91.9078;93.544;95.9396;99.3417;87.9432;90.286;89.443;91.6047;96.7794;92.9593;94.8708
2706;2000;91.844;92.785;94.717;107.3;105.867;105.162;97.693;95.134;91.89;93.119;92.785;94.435;96.86;100.286;88.748;91.129;90.286;92.475;97.693;93.838;95.795
2806;2000;92.6997;93.6622;95.5957;108.2647;106.8228;106.1066;98.6066;96.063;92.8163;94.008;93.6622;95.326;97.7804;101.2303;89.5528;91.972;91.129;93.3453;98.6066;94.7167;96.7192
2906;2000;93.5554;94.5394;96.4744;109.2294;107.7786;107.0512;99.5202;96.992;93.7426;94.897;94.5394;96.217;98.7008;102.1746;90.3576;92.815;91.972;94.2156;99.5202;95.5954;97.6434
3006;2000;94.4111;95.4166;97.3531;110.1941;108.7344;107.9958;100.4338;97.921;94.6689;95.786;95.4166;97.108;99.6212;103.1189;91.1624;93.658;92.815;95.0859;100.4338;96.4741;98.5676
107;2000;95.2668;96.2938;98.2318;111.1588;109.6902;108.9404;101.3474;98.85;95.5952;96.675;96.2938;97.999;100.5416;104.0632;91.9672;94.501;93.658;95.9562;101.3474;97.3528;99.4918
207;2000;96.1225;97.171;99.1105;112.1235;110.646;109.885;102.261;99.779;96.5215;97.564;97.171;98.89;101.462;105.0075;92.772;95.344;94.501;96.8265;102.261;98.2315;100.416
307;2000;96.9782;98.0482;99.9892;113.0882;111.6018;110.8296;103.1746;100.708;97.4478;98.453;98.0482;99.781;102.3824;105.9518;93.5768;96.187;95.344;97.6968;103.1746;99.1102;101.3402
407;2000;97.8339;98.9254;100.8679;114.0529;112.5576;111.7742;104.0882;101.637;98.3741;99.342;98.9254;100.672;103.3028;106.8961;94.3816;97.03;96.187;98.5671;104.0882;99.9889;102.2644
507;2000;98.6896;99.8026;101.7466;115.0176;113.5134;112.7188;105.0018;102.566;99.3004;100.231;99.8026;101.563;104.2232;107.8404;95.1864;97.873;97.03;99.4374;105.0018;100.8676;103.1886
607;2000;99.5453;100.6798;102.6253;115.9823;114.4692;113.6634;105.9154;103.495;100.2267;101.12;100.6798;102.454;105.1436;108.7847;95.9912;98.716;97.873;100.3077;105.9154;101.7463;104.1128
707;2000;100.401;101.557;103.504;116.947;115.425;114.608;106.829;104.424;101.153;102.009;101.557;103.345;106.064;109.729;96.796;99.559;98.716;101.178;106.829;102.625;105.037
807;2000;101.2567;102.4342;104.3827;117.9117;116.3808;115.5526;107.7426;105.353;102.0793;102.898;102.4342;104.236;106.9844;110.6733;97.6008;100.402;99.559;102.0483;107.7426;103.5037;105.9612
907;2000;102.1124;103.3114;105.2614;118.8764;117.3366;116.4972;108.6562;106.282;103.0056;103.787;103.3114;105.127;107.9048;111.6176;98.4056;101.245;100.402;102.9186;108.6562;104.3824;106.8854
1007;2000;102.9681;104.1886;106.1401;119.8411;118.2924;117.4418;109.5698;107.211;103.9319;104.676;104.1886;106.018;108.8252;112.5619;99.2104;102.088;101.245;103.7889;109.5698;105.2611;107.8096
1107;2000;103.8238;105.0658;107.0188;120.8058;119.2482;118.3864;110.4834;108.14;104.8582;105.565;105.0658;106.909;109.7456;113.5062;100.0152;102.931;102.088;104.6592;110.4834;106.1398;108.7338
1207;2000;104.6795;105.943;107.8975;121.7705;120.204;119.331;111.397;109.069;105.7845;106.454;105.943;107.8;110.666;114.4505;100.82;103.774;102.931;105.5295;111.397;107.0185;109.658
1307;2000;105.5352;106.8202;108.7762;122.7352;121.1598;120.2756;112.3106;109.998;106.7108;107.343;106.8202;108.691;111.5864;115.3948;101.6248;104.617;103.774;106.3998;112.3106;107.8972;110.5822
1407;2000;106.3909;107.6974;109.6549;123.6999;122.1156;121.2202;113.2242;110.927;107.6371;108.232;107.6974;109.582;112.5068;116.3391;102.4296;105.46;104.617;107.2701;113.2242;108.7759;111.5064
1507;2000;107.2466;108.5746;110.5336;124.6646;123.0714;122.1648;114.1378;111.856;108.5634;109.121;108.5746;110.473;113.4272;117.2834;103.2344;106.303;105.46;108.1404;114.1378;109.6546;112.4306
1607;2000;108.1023;109.4518;111.4123;125.6293;124.0272;123.1094;115.0514;112.785;109.4897;110.01;109.4518;111.364;114.3476;118.2277;104.0392;107.146;106.303;109.0107;115.0514;110.5333;113.3548
1707;2000;108.958;110.329;112.291;126.594;124.983;124.054;115.965;113.714;110.416;110.899;110.329;112.255;115.268;119.172;104.844;107.989;107.146;109.881;115.965;111.412;114.279
1807;2000;109.8137;111.2062;113.1697;127.5587;125.9388;124.9986;116.8786;114.643;111.3423;111.788;111.2062;113.146;116.1884;120.1163;105.6488;108.832;107.989;110.7513;116.8786;112.2907;115.2032
1907;2000;110.6694;112.0834;114.0484;128.5234;126.8946;125.9432;117.7922;115.572;112.2686;112.677;112.0834;114.037;117.1088;121.0606;106.4536;109.675;108.832;111.6216;117.7922;113.1694;116.1274
2007;2000;111.5251;112.9606;114.9271;129.4881;127.8504;126.8878;118.7058;116.501;113.1949;113.566;112.9606;114.928;118.0292;122.0049;107.2584;110.518;109.675;112.4919;118.7058;114.0481;117.0516
2107;2000;112.3808;113.8378;115.8058;130.4528;128.8062;127.8324;119.6194;117.43;114.1212;114.455;113.8378;115.819;118.9496;122.9492;108.0632;111.361;110.518;113.3622;119.6194;114.9268;117.9758
2207;2000;113.2365;114.715;116.6845;131.4175;129.762;128.777;120.533;118.359;115.0475;115.344;114.715;116.71;119.87;123.8935;108.868;112.204;111.361;114.2325;120.533;115.8055;118.9
2307;2000;114.0922;115.5922;117.5632;132.3822;130.7178;129.7216;121.4466;119.288;115.9738;116.233;115.5922;117.601;120.7904;124.8378;109.6728;113.047;112.204;115.1028;121.4466;116.6842;119.8242
2407;2000;114.9479;116.4694;118.4419;133.3469;131.6736;130.6662;122.3602;120.217;116.9001;117.122;116.4694;118.492;121.7108;125.7821;110.4776;113.89;113.047;115.9731;122.3602;117.5629;120.7484
2507;2000;115.8036;117.3466;119.3206;134.3116;132.6294;131.6108;123.2738;121.146;117.8264;118.011;117.3466;119.383;122.6312;126.7264;111.2824;114.733;113.89;116.8434;123.2738;118.4416;121.6726
2607;2000;116.6593;118.2238;120.1993;135.2763;133.5852;132.5554;124.1874;122.075;118.7527;118.9;118.2238;120.274;123.5516;127.6707;112.0872;115.576;114.733;117.7137;124.1874;119.3203;122.5968
2707;2000;117.515;119.101;121.078;136.241;134.541;133.5;125.101;123.004;119.679;119.789;119.101;121.165;124.472;128.615;112.892;116.419;115.576;118.584;125.101;120.199;123.521
2807;2000;118.3707;119.9782;121.9567;137.2057;135.4968;134.4446;126.0146;123.933;120.6053;120.678;119.9782;122.056;125.3924;129.5593;113.6968;117.262;116.419;119.4543;126.0146;121.0777;124.4452
2907;2000;119.2264;120.8554;122.8354;138.1704;136.4526;135.3892;126.9282;124.862;121.5316;121.567;120.8554;122.947;126.3128;130.5036;114.5016;118.105;117.262;120.3246;126.9282;121.9564;125.3694
3007;2000;120.0821;121.7326;123.7141;139.1351;137.4084;136.3338;127.8418;125.791;122.4579;122.456;121.7326;123.838;127.2332;131.4479;115.3064;118.948;118.105;121.1949;127.8418;122.8351;126.2936
3107;2000;120.9378;122.6098;124.5928;140.0998;138.3642;137.2784;128.7554;126.72;123.3842;123.345;122.6098;124.729;128.1536;132.3922;116.1112;119.791;118.948;122.0652;128.7554;123.7138;127.2178
108;2000;121.7935;123.487;125.4715;141.0645;139.32;138.223;129.669;127.649;124.3105;124.234;123.487;125.62;129.074;133.3365;116.916;120.634;119.791;122.9355;129.669;124.5925;128.142
